국가별,시점,확진자수[명],사망자수[명]
아프가니스탄,2020. 07. 01,31517,746
아프가니스탄,2020. 07. 02,31836,774
아프가니스탄,2020. 07. 03,32022,807
아프가니스탄,2020. 07. 04,32324,819
아프가니스탄,2020. 07. 05,32672,826
아프가니스탄,2020. 07. 06,32951,864
아프가니스탄,2020. 07. 07,33190,898
아프가니스탄,2020. 07. 08,33384,920
아프가니스탄,2020. 07. 09,33594,936
아프가니스탄,2020. 07. 10,33908,957
아프가니스탄,2020. 07. 11,34194,971
아프가니스탄,2020. 07. 12,34351,975
아프가니스탄,2020. 07. 13,34451,1010
아프가니스탄,2020. 07. 14,34455,1012
아프가니스탄,2020. 07. 15,34740,1045
아프가니스탄,2020. 07. 16,34994,1094
아프가니스탄,2020. 07. 17,35070,1115
아프가니스탄,2020. 07. 18,35229,1147
아프가니스탄,2020. 07. 19,35301,1164
아프가니스탄,2020. 07. 20,35475,1181
아프가니스탄,2020. 07. 21,35526,1185
아프가니스탄,2020. 07. 22,35615,1186
아프가니스탄,2020. 07. 23,35727,1190
아프가니스탄,2020. 07. 24,35928,1211
아프가니스탄,2020. 07. 25,35988,1225
아프가니스탄,2020. 07. 26,36036,1246
아프가니스탄,2020. 07. 27,36157,1259
아프가니스탄,2020. 07. 28,36263,1269
아프가니스탄,2020. 07. 29,36368,1270
아프가니스탄,2020. 07. 30,36471,1271
아프가니스탄,2020. 07. 31,36542,1271
아프가니스탄,2020. 08. 01,36675,1272
아프가니스탄,2020. 08. 02,36710,1283
아프가니스탄,2020. 08. 03,36710,1283
아프가니스탄,2020. 08. 04,36710,1283
아프가니스탄,2020. 08. 05,36747,1288
아프가니스탄,2020. 08. 06,36829,1294
아프가니스탄,2020. 08. 07,36896,1298
아프가니스탄,2020. 08. 08,37015,1307
아프가니스탄,2020. 08. 09,37054,1312
아프가니스탄,2020. 08. 10,37054,1312
아프가니스탄,2020. 08. 11,37054,1312
아프가니스탄,2020. 08. 12,37269,1344
아프가니스탄,2020. 08. 13,37345,1354
아프가니스탄,2020. 08. 14,37424,1363
아프가니스탄,2020. 08. 15,37431,1363
아프가니스탄,2020. 08. 16,37551,1370
아프가니스탄,2020. 08. 17,37596,1375
아프가니스탄,2020. 08. 18,37599,1375
아프가니스탄,2020. 08. 19,37599,1375
아프가니스탄,2020. 08. 20,37599,1375
아프가니스탄,2020. 08. 21,37856,1385
아프가니스탄,2020. 08. 22,37894,1385
아프가니스탄,2020. 08. 23,37953,1385
아프가니스탄,2020. 08. 24,37999,1387
아프가니스탄,2020. 08. 25,38054,1389
아프가니스탄,2020. 08. 26,38070,1397
아프가니스탄,2020. 08. 27,38113,1401
아프가니스탄,2020. 08. 28,38129,1401
아프가니스탄,2020. 08. 29,38140,1402
아프가니스탄,2020. 08. 30,38143,1402
아프가니스탄,2020. 08. 31,38162,1402
아프가니스탄,2020. 09. 01,38165,1402
아프가니스탄,2020. 09. 02,38196,1406
아프가니스탄,2020. 09. 03,38243,1409
아프가니스탄,2020. 09. 04,38288,1410
아프가니스탄,2020. 09. 05,38304,1409
아프가니스탄,2020. 09. 06,38324,1409
아프가니스탄,2020. 09. 07,38398,1412
아프가니스탄,2020. 09. 08,38494,1415
아프가니스탄,2020. 09. 10,38544,1420
아프가니스탄,2020. 09. 11,38572,1420
아프가니스탄,2020. 09. 12,38606,1420
아프가니스탄,2020. 09. 14,38716,1420
아프가니스탄,2020. 09. 15,38772,1425
아프가니스탄,2020. 09. 16,38815,1426
아프가니스탄,2020. 09. 17,38855,1436
아프가니스탄,2020. 09. 18,38872,1436
아프가니스탄,2020. 09. 20,38919,1437
